index,appliance,n_residents,household_type,cost,peak,RES
0,WASHING_MACHINE,1.0,1.0,29.588581922690906,22.64781730977554,32.92135507631653
1,WASHING_MACHINE,2.0,2.0,42.16852953300854,24.243664785341515,35.58533908853318
2,WASHING_MACHINE,2.0,3.0,39.253913032930186,25.09828214098837,33.20599188940558
3,WASHING_MACHINE,3.0,3.0,51.47801776400668,27.555040620538197,29.621517177027535
4,WASHING_MACHINE,3.0,4.0,51.02304095424082,22.189081311084063,36.49397609033748
5,WASHING_MACHINE,4.0,4.0,62.359583855938894,22.53068085049471,35.432641053695725
6,WASHING_MACHINE,5.0,4.0,69.68667682795285,19.733863453493193,36.313193523968735
7,WASHING_MACHINE,3.0,5.0,45.94691511276318,26.38685416418326,30.39099704671103
8,WASHING_MACHINE,4.0,5.0,48.59195774823182,18.364987769802077,22.72954906284589
9,WASHING_MACHINE,5.0,5.0,50.554117873871895,22.54049446149812,37.11468126738952
10,DISH_WASHER,1.0,1.0,51.96645094005878,22.865962824844992,26.80481679744404
11,DISH_WASHER,2.0,2.0,81.03746712698205,23.994560505475757,26.85822757297758
12,DISH_WASHER,2.0,3.0,70.04702933991632,20.943692566063778,21.13662326286437
13,DISH_WASHER,3.0,3.0,80.77603029105805,20.007438217179068,19.503234899026822
14,DISH_WASHER,3.0,4.0,104.09181794249244,19.815033443557528,25.68907759926003
15,DISH_WASHER,4.0,4.0,123.23828992003887,24.39094482626449,27.61795219414263
16,DISH_WASHER,5.0,4.0,145.534981934857,20.652204117190198,29.802031593869085
17,DISH_WASHER,3.0,5.0,85.01077518926172,22.382883478234426,21.661567955929357
18,DISH_WASHER,4.0,5.0,136.74161345304083,21.85777782009464,23.75318020794007
19,DISH_WASHER,5.0,5.0,109.37946769666496,15.453777536671085,18.301459947794143
